Year,Chinese Academy of Sciences,Tsinghua University,Massachusetts Institute of Technology,Stanford University,Shanghai Jiao Tong University,University of Michigan,Harvard University,Max Planck Society,Zhejiang University,Carnegie Mellon University
1980,1,1,204.8333333,202.5520202,0,130.8170996,128.4928571,83,0,111.3380952
1981,3.166666667,5.083333333,240.9916667,221.825,0,148.477381,169.4484127,90.56666667,2,134.969697
1982,2.833333333,3,253.8333333,232.0099567,3.5,170.9678571,154.6059885,96.81666667,0.3333333333,106
1983,8.166666667,7,275.0398268,219.9345238,3.5,171.625,189.6448773,110.6938312,1,171.0095238
1984,5.5,5,270.9916667,251.1142857,2.833333333,223.7857143,172.5833333,102.9879891,0.5,182.2833333
1985,5.25,13.66666667,325.6428571,279.9476496,13,249.8,176.9630952,107.4388889,5,230.1333333
1986,9.733333333,11.33333333,326.4943383,313.2720779,12.66666667,234.9260511,201.7238817,142.2354978,10.33333333,273.2095238
1987,6.45,16,350.7190476,353.0845238,15.8,294.4989177,232.7901494,157.9190476,15,297.4941176
1988,18.16666667,42.5,425.7373016,396.3631313,28.91666667,320.6452381,263.8271228,159.2611111,39.4,334.3916667
1989,15.58333333,49.33333333,508.040425,456.2633491,20.38333333,393.6983877,281.7904762,187.0905388,45.9,423.7579365
1990,19.37619048,34.45,511.8601622,441.4702381,22.75,456.6739821,312.5652143,218.3163076,25,388.6399887
1991,27.83333333,61.16666667,632.1850649,489.6160714,31.88095238,495.3573565,326.7119641,225.800745,40.33333333,462.6148693
1992,32.56666667,77.66666667,590.5456507,454.3295024,38.01666667,521.4581237,355.2769011,268.5858538,52.08333333,453.4171512
1993,68.12738095,138.65,550.9366691,539.7789683,37.85,505.4533697,340.8308303,288.5197519,46.25,429.401136
1994,65.70238095,98.21666667,658.4740079,626.7632862,30.9,562.6026114,460.8977596,345.2845238,29.25,471.8407107
1995,84.1,129.3130952,604.1347148,607.5811328,26.95,610.422538,424.2132847,352.7982134,42.75,442.9780428
1996,103.6777778,261.5666667,644.1591299,588.9114464,50.33333333,614.0428231,450.8763643,469.6206704,82.41666667,522.1631258
1997,165.6800095,193.975,677.4106932,561.230989,45.72857143,605.8035714,457.8765825,442.0293234,96.15,472.3044123
1998,200.5311522,374.1071429,661.0776222,630.1943223,63,613.4283933,459.031271,596.0625096,133.1833333,561.2090317
1999,233.100469,406.0464286,694.7323434,636.1113018,90.34285714,621.6228376,508.1521746,589.532689,123.6761905,552.0832817
2000,306.7314935,446.472619,764.26057,684.2460519,211.7,662.6831349,557.1874216,721.3047665,224.85,566.3101912
2001,409.2680098,633.1940476,718.5978459,739.2511272,276.1666667,672.253393,633.6203899,777.4338569,247.2083333,570.8703859
2002,541.3194444,940.6142857,815.4304071,794.1331557,443.0357143,728.9171943,682.2175442,910.3015651,440.1666667,708.0180128
2003,841.331734,838.496072,869.7155558,839.0199,511.9634921,767.9842644,750.4136557,973.8154944,577.1452381,770.9468183
2004,1341.392086,1170.409688,1020.983687,906.0081587,1041.566222,827.755545,884.0878624,1074.374203,1228.652381,906.8207032
2005,1605.528164,1532.168866,988.5929041,1003.206517,1347.964652,950.0752272,904.2807859,1101.970802,1429.618651,946.7412545
2006,2308.647751,1913.420916,1101.871147,1074.91354,1548.979726,976.5167213,1044.892076,1223.975878,1821.266667,1000.955458
2007,2736.205965,1804.412629,1127.82626,1094.730563,1592.742027,1112.001638,1053.779352,1267.981044,1549.286388,1020.732223
2008,3275.259075,1942.981143,1105.16968,1179.092961,1896.790673,1142.461261,1138.524838,1492.85738,1596.534793,1040.089391
2009,3755.611242,2027.163032,1269.817552,1267.84044,2015.050253,1149.09907,1152.01521,1407.76139,1629.746089,1061.646034
2010,4014.768794,1940.377957,1385.605287,1253.892033,1837.01789,1227.316602,1286.817175,1586.459038,1721.924295,1206.636187
2011,3942.893072,1935.212386,1449.365233,1284.62557,1783.339356,1293.405458,1369.965775,1520.18704,1859.021563,1188.450498
2012,3919.311868,1900.678222,1341.717961,1249.572295,1843.444161,1397.719933,1467.82622,1580.287495,1632.570528,1305.295879
2013,3600.585484,2039.604979,1407.474543,1506.994136,1900.804552,1483.34324,1490.794802,1540.970498,1770.269792,1277.469173
2014,4269.69279,2262.743121,1420.221812,1433.66387,1923.294092,1512.324711,1620.804924,1560.49467,1532.734843,1283.345398
2015,4001.890949,2174.725081,1544.613931,1577.127495,1746.518007,1509.87298,1576.796967,1536.023309,1551.347385,1361.043115
2016,3923.772869,2171.811714,1515.623565,1619.55503,1865.941472,1645.511971,1652.836161,1596.034459,1390.066531,1360.343224
2017,4191.651775,2400.852574,1705.486541,1742.944339,2025.323145,1810.844032,1726.678404,1609.965814,1605.89333,1416.134774
2018,4861.335214,2741.211953,2025.991137,1943.474092,2471.89896,1793.669818,1796.036134,1628.662109,1901.533681,1550.482347
2019,5811.683984,3175.1875,2127.501929,2252.378678,2933.604032,1988.303182,2063.135358,1733.389567,2465.445128,1833.272526
2020,5804.363086,3342.541475,2262.88087,2581.05699,3330.083566,2168.62906,2257.137316,1653.784958,2802.934733,1848.620511
2021,6516.524364,3764.012428,2167.846316,2570.166434,3652.32741,2165.020871,2469.499502,1532.503203,3178.178746,1807.685291